LIST OF ESTABILISHED PMKKs,,,,,
S. No.,TC ID,TC State,District,PC,TP Name
1,TC041077,Andhra Pradesh,Anantapur,Anantapur,Quess Corp Limited (Excelus Learning Solutions Private Limited)
2,TC040374,Andhra Pradesh,Anantapur,Hindupur,Rooman Technologies Private Limited
3,TC052972,Andhra Pradesh,Chittoor,Chittoor,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
4,TC040376,Andhra Pradesh,Chittoor,Tirupati,Rooman Technologies Private Limited
5,TC059033,Andhra Pradesh,East Godavari,Amalapuram,Datapro Computers Private Limited
6,TC059026,Andhra Pradesh,East Godavari,Rajahmundry,Datapro Computers Private Limited
7,TC041441,Andhra Pradesh,East Godavari,Kakinada,ICA Edu Skills Private Limited
8,TC037375,Andhra Pradesh,Guntur,Guntur,Synchroserve Global Solutions Private Limited
9,TC052979,Andhra Pradesh,Guntur,Narasaraopet,Synchroserve Global Solutions Private Limited
10,TC037951,Andhra Pradesh,Kadapa,Kadapa,Synchroserve Global Solutions Private Limited
11,TC052965,Andhra Pradesh,Krishna,Machilipatnam,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
12,TC041989,Andhra Pradesh,Krishna,Vijaywada,Synchroserve Global Solutions Private Limited
13,TC040098,Andhra Pradesh,Kurnool,Kurnool,Rooman Technologies Private Limited
14,TC106081,Andhra Pradesh,Kurnool,Nandyal,Shri Proskills
15,TC040610,Andhra Pradesh,Nellore,Nellore,Rooman Technologies Private Limited
16,TC048245,Andhra Pradesh,Prakasam,Bapatla,Synchroserve Global Solutions Private Limited
17,TC029001,Andhra Pradesh,Prakasam,Ongole,Synchroserve Global Solutions Private Limited
18,TC100246,Andhra Pradesh,Srikakulam,Araku,Datapro Computers Private Limited
19,TC041099,Andhra Pradesh,Srikakulam,Srikakulam,ICA Edu Skills Private Limited
20,TC040780,Andhra Pradesh,Visakhapatanam,Visakhapatnam,ICA Edu Skills Private Limited
21,TC109896,Andhra Pradesh,Visakhapatanam,Anakapalle,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
22,TC041094,Andhra Pradesh,Vizianagaram,Vizianagaram,ICA Edu Skills Private Limited
23,TC041096,Andhra Pradesh,West Godavari,Eluru,ICA Edu Skills Private Limited
24,TC100110,Andhra Pradesh,West Godavari,Narsapuram,Shri Proskills
25,TC113165,Arunachal Pradesh,Changlang,Arunachal East,De Unique Educational Society
26,TC143696,Arunachal Pradesh,East Kameng,Arunachal West,Council of Education And Skill Development Trust
27,TC110505,Arunachal Pradesh,East Siang,Arunachal East,JITM Skills Private Limited
28,TC105095,Arunachal Pradesh,Lohit,Arunachal East,De Unique Educational Society
29,TC104454,Arunachal Pradesh,Lower Siang,Arunachal East,JITM Skills Private Limited
30,TC127009,Arunachal Pradesh,Lower Subansiri,Arunachal West,Council of Education And Skill Development Trust
31,TC105110,Arunachal Pradesh,Namsai,Arunachal East,De Unique Educational Society
32,TC104034,Arunachal Pradesh,Papum Pare,Arunachal West,Smart Brains Engineers & Technologist Private Limited
33,TC110508,Arunachal Pradesh,Tirap,Arunachal East,JITM Skills Private Limited
34,TC115170,Arunachal Pradesh,West Siang,Arunachal West,De Unique Educational Society
35,TC027871,Assam,Baksa,Kokrajhar,Orion Edutech Private Limited
36,TC059089,Assam,Barpeta,Barpeta,JITM Skills Private Limited
37,TC022284,Assam,Biswanath,Tezpur,Care Educational & Welfare Society
38,TC113900,Assam,Bongaigaon,Barpeta,Britti Prosikshan Private Limited
39,TC100151,Assam,Cachar,Silchar,Medhavi Foundation
40,TC028097,Assam,Chirang,Kokrajhar,Orion Edutech Private Limited
41,TC031858,Assam,Darrang,Mangaldoi,Orion Edutech Private Limited
42,TC114444,Assam,Dhubri,Dhubri,Bhartiya Samruddhi Investments & Consulting  Services Limited
43,TC101916,Assam,Dima Hasao,Autonomous District,Mahatma Gandhi University
44,TC114423,Assam,Goalpara,Dhubri,Bhartiya Samruddhi Investments & Consulting  Services Limited
45,TC040415,Assam,Golaghat,Kaliabor,Care Educational & Welfare Society
46,TC113376,Assam,Hailakandi,Karimganj,Medhavi Foundation
47,TC061988,Assam,Hojai,Nagaon,Mahatma Gandhi University
48,TC040547,Assam,Jorhat,Jorhat,Care Educational & Welfare Society
49,TC040341,Assam,Kamrup,Guwahati,Orion Edutech Private Limited
50,TC037346,Assam,Kamrup Metro,Guwahati,Orion Edutech Private Limited
51,TC022325,Assam,Karbi Anglong,Autonomous District,Care Educational & Welfare Society
52,TC101080,Assam,Karimganj,Karimganj,Mahatma Gandhi University
53,TC121841,Assam,Kokrajhar,Kokrajhar,Britti Prosikshan Private Limited
54,TC123918,Assam,Lakhimpur,Lakhimpur,Bhartiya Samruddhi Investments & Consulting  Services Limited
55,TC125890,Assam,Majuli,Lakhimpur,Care Educational & Welfare Society
56,TC027747,Assam,Marigaon,Nagaon,Orion Edutech Private Limited
57,TC113561,Assam,Nagaon,Kaliabor,Mahatma Gandhi University
58,TC100801,Assam,Nalbari,Mangaldoi,JITM Skills Private Limited
59,TC022261,Assam,Sonitpur,Tezpur,Care Educational & Welfare Society
60,TC123907,Assam,South Salmara Mancachar,Dhubri,Bhartiya Samruddhi Investments & Consulting  Services Limited
61,TC040529,Assam,Udalguri,Mangaldoi,Care Educational & Welfare Society
62,TC040403,Assam,West Karbi Anglong,Autonomous District,Care Educational & Welfare Society
63,TC049346,Bihar,Araria,Araria,Ashpra Skills Private Limited
64,TC112225,Bihar,Arwal,Jehanabad,ADS Skill Private Limited
65,TC040422,Bihar,Aurangabad,Aurangabad,Rooman Technologies Private Limited
66,TC059082,Bihar,Banka,Banka,JITM Skills Private Limited
67,TC040551,Bihar,Begusarai,Begusarai,Vision India Services Private Limited
68,TC100674,Bihar,Bhagalpur,Bhagalpur,AISECT Limited (AISECT SKILLS MISSION)
69,TC031781,Bihar,Bhojpur,Arrah,Orion Edutech Private Limited
70,TC040334,Bihar,Buxar,Buxar,Orion Edutech Private Limited
71,TC040555,Bihar,Darbhanga,Darbhanga,Vision India Services Private Limited
72,TC027593,Bihar,Purbi Champaran,East Champaran,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
73,TC039496,Bihar,Gaya,Gaya,Rooman Technologies Private Limited
74,TC057354,Bihar,Gopalganj,Gopalganj,ADS Skill Private Limited
75,TC059130,Bihar,Jamui,Jamui,Medhavi Foundation
76,TC032062,Bihar,Jehanabad,Jehanabad,Orion Edutech Private Limited
77,TC039951,Bihar,Kaimur (Bhabua),Sasaram,Orion Edutech Private Limited
78,TC040414,Bihar,Katihar,Katihar,Ashpra Skills Private Limited
79,TC058662,Bihar,Khagaria,Khagaria,JITM Skills Private Limited
80,TC040417,Bihar,Kishanganj,Kishanganj,Ashpra Skills Private Limited
81,TC045828,Bihar,Lakhisarai,Munger,Vision India Services Private Limited
82,TC062415,Bihar,Madhepura,Madhepura,JITM Skills Private Limited
83,TC041018,Bihar,Madhubani,Madhubani,Ashpra Skills Private Limited
84,TC057650,Bihar,Madhubani,Jhanjharpur,Datapro Computers Private Limited
85,TC102778,Bihar,Munger,Munger,Bhartiya Samruddhi Investments & Consulting  Services Limited
86,TC019816,Bihar,Muzaffarpur,Muzaffarpur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
87,TC046465,Bihar,Muzaffarpur,Vaishali,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
88,TC040377,Bihar,Nalanda,Nalanda,Rooman Technologies Private Limited
89,TC040423,Bihar,Nawada,Nawada,Rooman Technologies Private Limited
90,TC041428,Bihar,Patna,Patna Sahib,ICA Edu Skills Private Limited
91,TC040310,Bihar,Patna,Patliputra,Orion Edutech Private Limited
92,TC041020,Bihar,Purnia,Purnia,Ashpra Skills Private Limited
93,TC052896,Bihar,Rohtas,Karakat,Ashpra Skills Private Limited
94,TC039652,Bihar,Rohtas,Sasaram,Orion Edutech Private Limited
95,TC059269,Bihar,Saharsa,Madhepura,JITM Skills Private Limited
96,TC042021,Bihar,Samastipur,Samastipur,Vision India Services Private Limited
97,TC000052,Bihar,Saran,Maharajganj,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
98,TC041451,Bihar,Saran,Saran,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
99,TC052454,Bihar,Saran,Saran,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
100,TC014416,Bihar,Saran,Saran,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
101,TC003206,Bihar,Saran,Saran,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
102,TC057595,Bihar,Sheikhpura,Jamui,Bhartiya Samruddhi Investments & Consulting  Services Limited
103,TC100113,Bihar,Sheohar,Sheohar,The Manav Kalyan Avam Vikas Sanstha
104,TC108204,Bihar,Sitamarhi,Sitamarhi,The Manav Kalyan Avam Vikas Sanstha
105,TC040325,Bihar,Siwan,Maharajganj,Funfirst Global Skillers Private Limited
106,TC027722,Bihar,Siwan,Siwan,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
107,TC041017,Bihar,Supaul,Supaul,Ashpra Skills Private Limited
108,TC042020,Bihar,Vaishali,Hajipur,Vision India Services Private Limited
109,TC111460,Bihar,Vaishali,Ujiyarpur,Vision India Services Private Limited
110,TC100179,Bihar,Pashchim Champaran,West Champaran,ADS Skill Private Limited
111,TC040347,Chandigarh,Chandigarh,Chandigarh,Edujobs Academy Private Limited
112,TC041170,Chhattisgarh,Baloda Bazar,Raipur,Care Educational & Welfare Society
113,TC040778,Chhattisgarh,Balrampur,Surguja,Ashpra Skills Private Limited
114,TC015971,Chhattisgarh,Bemetara,Durg,AISECT Limited (AISECT SKILLS MISSION)
115,TC042104,Chhattisgarh,Bijapur,Bastar,AISECT Limited (AISECT SKILLS MISSION)
116,TC029182,Chhattisgarh,Bilaspur,Bilaspur,AISECT Limited (AISECT SKILLS MISSION)
117,TC014412,Chhattisgarh,Durg,Durg,AISECT Limited (AISECT SKILLS MISSION)
118,TC027469,Chhattisgarh,Gariyaband,Mahasamund,Care Educational & Welfare Society
119,TC041172,Chhattisgarh,Janjgir-Champa,Janjgir-Champa,Care Educational & Welfare Society
120,TC040410,Chhattisgarh,Jashpur,Raigarh,Ashpra Skills Private Limited
121,TC044662,Chhattisgarh,Kabirdham,Rajnandgaon,AISECT Limited (AISECT SKILLS MISSION)
122,TC111041,Chhattisgarh,Kondagaon,Bastar,AISECT Limited (AISECT SKILLS MISSION)
123,TC040022,Chhattisgarh,Korba,Korba,AISECT Limited (AISECT SKILLS MISSION)
124,TC041012,Chhattisgarh,Korea,Korba,Ashpra Skills Private Limited
125,TC040429,Chhattisgarh,Mahasamund,Mahasamund,Care Educational & Welfare Society
126,TC014364,Chhattisgarh,Mungeli,Bilaspur,AISECT Limited (AISECT SKILLS MISSION)
127,TC015668,Chhattisgarh,Narayanpur,Bastar,AISECT Limited (AISECT SKILLS MISSION)
128,TC041202,Chhattisgarh,Raigarh,Raigarh,AISECT Limited (AISECT SKILLS MISSION)
129,TC014986,Chhattisgarh,Raipur,Raipur,AISECT Limited (AISECT SKILLS MISSION)
130,TC040364,Chhattisgarh,Rajnandgaon,Rajnandgaon,AISECT Limited (AISECT SKILLS MISSION)
131,TC041104,Chhattisgarh,Surajpur,Surguja,Ashpra Skills Private Limited
132,TC041011,Chhattisgarh,Surguja,Surguja,Ashpra Skills Private Limited
133,TC040361,Chhattisgarh,Uttar Bastar Kanker,Kanker,AISECT Limited (AISECT SKILLS MISSION)
134,TC118864,Delhi,East Delhi,East Delhi,GS Techno Innovations Private Limited
135,TC039648,Delhi,New Delhi,New Delhi,Orion Edutech Private Limited
136,TC062533,Delhi,North Delhi,North West Delhi,De Unique Educational Society
137,TC103438,Delhi,North East Delhi,North East Delhi,Foresight Edutech Private Limited
138,TC039437,Delhi,North West Delhi,North West Delhi,IACM Smart Learn Limited
139,TC100401,Delhi,Shahdara,East Delhi,De Unique Educational Society
140,TC000010,Delhi,South Delhi (Okhla),South Delhi,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
141,TC104453,Delhi,South East Delhi,South Delhi,JITM Skills Private Limited
142,TC040370,Delhi,South West Delhi (Najafgarh),West Delhi,Don Bosco Tech Society
143,TC059399,Goa,South Goa,South Goa,Silver Oak Shops & Office Co-Op Housing Society Limited
144,TC041449,Gujarat,Ahmedabad,Ahmedabad West,ICA Edu Skills Private Limited
145,TC055977,Gujarat,Amreli,Amreli,Care Educational & Welfare Society
146,TC054761,Gujarat,Anand,Anand,Care Educational & Welfare Society
147,TC040367,Gujarat,Bharuch,Bharuch,NIFA Infocomp Services Private Limited
148,TC100111,Gujarat,Bhavnagar,Bhavnagar,Care Educational & Welfare Society
149,TC041826,Gujarat,Botad,Bhavnagar,Care Educational & Welfare Society
150,TC041917,Gujarat,Chottaudaipur,Chottaudaipur,NIFA Infocomp Services Private Limited
151,TC040404,Gujarat,Dahod,Dahod,NIFA Infocomp Services Private Limited
152,TC061413,Gujarat,Devbhoomi Dwarka,Jamnagar,De Unique Educational Society
153,TC110038,Gujarat,Gandhinagar,Ahmedabad East,Silver Oak Shops & Office Co-Op Housing Society Limited
154,TC060945,Gujarat,Gir Somnath,Junagadh,De Unique Educational Society
155,TC040351,Gujarat,Jamnagar,Jamnagar,ICA Edu Skills Private Limited
156,TC058872,Gujarat,Junagadh,Junagadh,JITM Skills Private Limited
157,TC040349,Gujarat,Kachchh,Kachchh,ICA Edu Skills Private Limited
158,TC055943,Gujarat,Kheda,Kheda,Care Educational & Welfare Society
159,TC114454,Gujarat,Mahisagar,Panchmahal,Silver Oak Shops & Office Co-Op Housing Society Limited
160,TC040350,Gujarat,Morbi,Kachchh,ICA Edu Skills Private Limited
161,TC040481,Gujarat,Narmada,Chottaudaipur,NIFA Infocomp Services Private Limited
162,TC055033,Gujarat,Navsari,Navsari,Care Educational & Welfare Society
163,TC041204,Gujarat,Panchmahal,Panchmahal,NIFA Infocomp Services Private Limited
164,TC057878,Gujarat,Porbandar,Porbandar,Bhartiya Samruddhi Investments & Consulting  Services Limited
165,TC058638,Gujarat,Rajkot,Rajkot,Bhartiya Samruddhi Investments & Consulting  Services Limited
166,TC048771,Gujarat,Surat,Surat,Care Educational & Welfare Society
167,TC040348,Gujarat,Surendranagar,Surendranagar,ICA Edu Skills Private Limited
168,TC054943,Gujarat,Tapi,Bardoli,Care Educational & Welfare Society
169,TC053596,Gujarat,The Dangs,Valsad,Care Educational & Welfare Society
170,TC041926,Gujarat,Vadodara,Vadodara,NIFA Infocomp Services Private Limited
171,TC056325,Gujarat,Valsad,Valsad,Care Educational & Welfare Society
172,TC035884,Haryana,Ambala,Ambala,ICA Edu Skills Private Limited
173,TC032560,Haryana,Bhiwani,Bhiwani- Mahendragarh,Orion Edutech Private Limited
174,TC034803,Haryana,Faridabad,Faridabad,Innovision Limited
175,TC101941,Haryana,Faridabad,Faridabad,Hettich India Private Limited
176,TC040751,Haryana,Fatehabad,Sirsa,Centum Workskills India Limited
177,TC040995,Haryana,Gurugram,Gurgaon,Innovision Limited
178,TC058643,Haryana,Gurugram,Gurgaon,Jet Serve Aviation Pvt. Ltd.
179,TC058572,Haryana,Gurugram,Gurgaon,Maruti Suzuki India Limited
180,TC018696,Haryana,Hisar,Hisar,Centum Workskills India Limited
181,TC032468,Haryana,Jhajjar,Rohtak,Orion Edutech Private Limited
182,TC040328,Haryana,Jind,Sonipat,Centum Workskills India Limited
183,TC012073,Haryana,Kaithal,Kurukshetra,Centum Workskills India Limited
184,TC035790,Haryana,Karnal,Karnal,ICA Edu Skills Private Limited
185,TC038057,Haryana,Kurukshetra,Kurukshetra,ICA Edu Skills Private Limited
186,TC034079,Haryana,Mahendragarh,Bhiwani- Mahendragarh,Innovision Limited
187,TC039983,Haryana,Mewat,Gurgaon,Innovision Limited
188,TC033971,Haryana,Palwal,Faridabad,Innovision Limited
189,TC041427,Haryana,Panchkula,Ambala,ICA Edu Skills Private Limited
190,TC032846,Haryana,Panipat,Karnal,Orion Edutech Private Limited
191,TC040495,Haryana,Rewari,Gurgaon,Innovision Limited
192,TC032729,Haryana,Rohtak,Rohtak,Orion Edutech Private Limited
193,TC046563,Haryana,Sirsa,Sirsa,Centum Workskills India Limited
194,TC032809,Haryana,Sonipat,Sonipat,Orion Edutech Private Limited
195,TC038140,Haryana,Yamunanagar,Ambala,ICA Edu Skills Private Limited
196,TC030731,Himachal Pradesh,Bilaspur,Hamirpur,Calance Software Private Limited
197,TC040616,Himachal Pradesh,Chamba,Kangra,De Unique Educational Society
198,TC059278,Himachal Pradesh,Hamirpur,Hamirpur,JITM Skills Private Limited
199,TC057991,Himachal Pradesh,Kangra,Kangra,De Unique Educational Society
200,TC110066,Himachal Pradesh,Kinnaur,Mandi,JITM Skills Private Limited
201,TC058874,Himachal Pradesh,Kullu,Mandi,JITM Skills Private Limited
202,TC056069,Himachal Pradesh,Mandi,Mandi,De Unique Educational Society
203,TC107509,Himachal Pradesh,Shimla,Shimla,Calance Software Private Limited
204,TC040393,Himachal Pradesh,Sirmaur,Shimla,Calance Software Private Limited
205,TC032953,Himachal Pradesh,Solan,Shimla,Calance Software Private Limited
206,TC054767,Himachal Pradesh,Una,Hamirpur,De Unique Educational Society
207,TC027136,Jammu And Kashmir,Anantnag,Anantnag,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
208,TC016579,Jammu And Kashmir,Badgam,Srinagar,Orion Edutech Private Limited
209,TC050929,Jammu And Kashmir,Badgam,Srinagar,Orion Edutech Private Limited
210,TC062806,Jammu And Kashmir,Bandipora,Baramulla,Mosaic Workskills Private Limited
211,TC120885,Jammu And Kashmir,Baramulla,Baramulla,Care Educational & Welfare Society
212,TC118699,Jammu And Kashmir,Ganderbal,Srinagar,Mosaic Workskills Private Limited
213,TC000750,Jammu And Kashmir,Jammu,Jammu,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
214,TC100171,Jammu And Kashmir,Kathua,Udhampur,GK Educational Trust
215,TC118688,Jammu And Kashmir,Kishtwar,Udhampur,National Paramedical Sciences Society
216,TC100163,Jammu And Kashmir,Kulgam,Anantnag,Care Educational & Welfare Society
217,TC010370,Jammu And Kashmir,Kupwara,Baramulla,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
218,TC100172,Jammu And Kashmir,Poonch,Jammu,GK Educational Trust
219,TC101655,Jammu And Kashmir,Pulwama,Anantnag,Care Educational & Welfare Society
220,TC059569,Jammu And Kashmir,Ramban,Udhampur,Shri Vishwamitra Shikshan Samiti
221,TC117192,Jammu And Kashmir,Reasi,Udhampur,GK Educational Trust
222,TC120098,Jammu And Kashmir,Samba,Jammu,Orion Edutech Private Limited
223,TC040550,Jammu And Kashmir,Srinagar,Srinagar,Rooman Technologies Private Limited
224,TC100460,Jammu And Kashmir,Udhampur,Udhampur,GK Educational Trust
225,TC041934,Jharkhand,Chatra,Chatra,Vikas Bharti Bishunpur
226,TC042828,Jharkhand,Dhanbad,Dhanbad,Ashpra Skills Private Limited
227,TC041921,Jharkhand,Dumka,Dumka,Ashpra Skills Private Limited
228,TC041067,Jharkhand,Garhwa,Palamu,Vikas Bharti Bishunpur
229,TC041931,Jharkhand,Gumla,Lohardaga,Vikas Bharti Bishunpur
230,TC101181,Jharkhand,Hazaribagh,Hazaribagh,Medhavi Foundation
231,TC041453,Jharkhand,Jamtara,Dumka,Ashpra Skills Private Limited
232,TC040768,Jharkhand,Khunti,Khunti,Ashpra Skills Private Limited
233,TC059088,Jharkhand,Koderma,Koderma,JITM Skills Private Limited
234,TC041939,Jharkhand,Latehar,Chatra,Vikas Bharti Bishunpur
235,TC100256,Jharkhand,Lohardaga,Lohardaga,AISECT Limited (AISECT SKILLS MISSION)
236,TC042164,Jharkhand,Pakur,Rajmahal,Ashpra Skills Private Limited
237,TC040705,Jharkhand,Palamu,Palamu,Vikas Bharti Bishunpur
238,TC052726,Jharkhand,Pashchimi Singhbhum,Singhbhum,Ashpra Skills Private Limited
239,TC040772,Jharkhand,Purbi Singhbhum,Jamshedpur,Ashpra Skills Private Limited
240,TC115183,Jharkhand,Ramgarh,Hazaribagh,Star Secutech Pvt. Ltd.
241,TC040394,Jharkhand,Ranchi,Ranchi,Don Bosco Tech Society
242,TC041927,Jharkhand,Sahibganj,Rajmahal,Ashpra Skills Private Limited
243,TC040407,Jharkhand,Seraikela- Kharsawan,Singhbhum,Ashpra Skills Private Limited
244,TC041461,Jharkhand,Simdega,Khunti,Ashpra Skills Private Limited
245,TC041880,Karnataka,Bagalkot,Bagalkot,ICA Edu Skills Private Limited
246,TC040786,Karnataka,Bangalore Rural,Chikkaballapur,Rooman Technologies Private Limited
247,TC041168,Karnataka,Bangalore Urban,Bangalore North,Don Bosco Tech Society
248,TC016338,Karnataka,Bangalore Urban,Bangalore Central,Rooman Technologies Private Limited
249,TC016371,Karnataka,Bangalore Urban,Bangalore North,Rooman Technologies Private Limited
250,TC040759,Karnataka,Bangalore Urban,Bangalore Rural,Rooman Technologies Private Limited
251,TC109773,Karnataka,Bangalore Urban,Bangalore South,UTL Technologies Limited
252,TC054968,Karnataka,Belgaum,Chikkodi,Empower Pragati Vocational & Staffing Private Limited
253,TC040330,Karnataka,Belgaum,Belgaum,Rooman Technologies Private Limited
254,TC041455,Karnataka,Bellary,Bellary,Quess Corp Limited (Excelus Learning Solutions Private Limited)
