LIST OF ESTABILISHED PMKKs,,,,,
494,TC056606,Rajasthan,Jaipur,Jaipur Rural,Foresight Edutech Private Limited
495,TC000230,Rajasthan,Jaipur,Jaipur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
496,TC054577,Rajasthan,Jaipur,Jaipur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
497,TC040486,Rajasthan,Jaisalmer,Barmer,ICA Edu Skills Private Limited
498,TC059273,Rajasthan,Jalore,Jalore,JITM Skills Private Limited
499,TC041922,Rajasthan,Jhalawar,Jhalawar-Baran,NIFA Infocomp Services Private Limited
500,TC041806,Rajasthan,Jhunjhunun,Jhunjhunun,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
501,TC058033,Rajasthan,Jodhpur,Jodhpur,Foresight Edutech Private Limited
502,TC055534,Rajasthan,Karauli,Karauli-Dholpur,Empower Pragati Vocational & Staffing Private Limited
503,TC129708,Rajasthan,Kota,Kota,NIFA Infocomp Services Private Limited
504,TC035466,Rajasthan,Nagaur,Nagaur,ICA Edu Skills Private Limited
505,TC059083,Rajasthan,Pali,Pali,JITM Skills Private Limited
506,TC029586,Rajasthan,Pratapgarh,Udaipur,NIFA Infocomp Services Private Limited
507,TC040368,Rajasthan,Rajsamand,Rajsamand,NIFA Infocomp Services Private Limited
508,TC040796,Rajasthan,Sikar,Sikar,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
509,TC100916,Rajasthan,Sirohi,Jalore,Foresight Edutech Private Limited
510,TC029574,Rajasthan,Tonk,Tonk-Sawai Madhopur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
511,TC003628,Rajasthan,Udaipur,Udaipur,NIFA Infocomp Services Private Limited
512,TC127120,Sikkim,Sikkim East,Sikkim,Medhavi Foundation
513,TC124158,Sikkim,South Sikkim,Sikkim,Gautam Buddh Welfare Society
514,TC104457,Sikkim,West Sikkim,Sikkim,JITM Skills Private Limited
515,TC052776,Tamil Nadu,Ariyalur,Chidambaram,Jeyram Educational Trust
516,TC040900,Tamil Nadu,Chennai,Chennai Central,Rooman Technologies Private Limited
517,TC105850,Tamil Nadu,Chennai,Chennai North,Rural Education and Environment Protection (REEP) Trust
518,TC042120,Tamil Nadu,Chennai,Chennai South,UTL Technologies Limited
519,TC040386,Tamil Nadu,Coimbatore,Coimbatore,Aaruthal Foundation
520,TC035531,Tamil Nadu,Cuddalore,Cuddalore,UTL Technologies Limited
521,TC059182,Tamil Nadu,Dharmapuri,Dharmapuri,Silver Oak Shops & Office Co-Op Housing Society Limited
522,TC041019,Tamil Nadu,Dindigul,Dindigul,Quess Corp Limited (Excelus Learning Solutions Private Limited)
523,TC021286,Tamil Nadu,Erode,Erode,Aaruthal Foundation
524,TC100170,Tamil Nadu,Kanchipuram,Kanchipuram,Jeyram Educational Trust
525,TC017230,Tamil Nadu,Kanyakumari,Kanyakumari,STC Technologies Private Limited
526,TC040385,Tamil Nadu,Karur,Karur,Aaruthal Foundation
527,TC059177,Tamil Nadu,Krishnagiri,Krishnagiri,Silver Oak Shops & Office Co-Op Housing Society Limited
528,TC042083,Tamil Nadu,Madurai,Madurai,Quess Corp Limited (Excelus Learning Solutions Private Limited)
529,TC017182,Tamil Nadu,Nagapattinam,Nagapattinam,UTL Technologies Limited
530,TC038117,Tamil Nadu,Namakkal,Namakkal,Aaruthal Foundation
531,TC041137,Tamil Nadu,Nilgiris,Nilgiris,Aaruthal Foundation
532,TC056396,Tamil Nadu,Perambalur,Perambalur,Jeyram Educational Trust
533,TC049627,Tamil Nadu,Ramanathapura m,Ramanathapura m,Quess Corp Limited (Excelus Learning Solutions Private Limited)
534,TC109056,Tamil Nadu,Salem,Salem,AISECT Limited (AISECT SKILLS MISSION)
535,TC049633,Tamil Nadu,Sivaganga,Sivaganga,Quess Corp Limited (Excelus Learning Solutions Private Limited)
536,TC111797,Tamil Nadu,Thanjavur,Thanjavur,Jeyram Educational Trust
537,TC033855,Tamil Nadu,Theni,Theni,STC Technologies Private Limited
538,TC017001,Tamil Nadu,Thiruvallur,Thiruvallur,UTL Technologies Limited
539,TC010347,Tamil Nadu,Thoothukudi,Thoothukudi,STC Technologies Private Limited
540,TC056823,Tamil Nadu,Tiruchirapalli,Tiruchirapalli,Jeyram Educational Trust
541,TC028477,Tamil Nadu,Tirunelveli,Tirunelveli,STC Technologies Private Limited
542,TC042082,Tamil Nadu,Tiruppur,Tiruppur,Quess Corp Limited (Excelus Learning Solutions Private Limited)
543,TC116299,Tamil Nadu,Tiruvannamalai,Arani,IHT Network Ltd.
544,TC114958,Tamil Nadu,Tiruvannamalai,Tiruvannamalai,IHT Network Ltd.
545,TC106152,Tamil Nadu,Tiruvarur,Nagapattinam,Rural Education and Environment Protection (REEP) Trust
546,TC127256,Tamil Nadu,Vellore,Arakkonam,IHT Network Ltd.
547,TC042117,Tamil Nadu,Vellore,Vellore,UTL Technologies Limited
548,TC017180,Tamil Nadu,Viluppuram,Viluppuram,UTL Technologies Limited
549,TC031533,Tamil Nadu,Virudhunagar,Virudhunagar,STC Technologies Private Limited
550,TC027331,Telangana,Adilabad,Adilabad,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
551,TC059061,Telangana,Bhadradri Kothagudem,Mahabubabad,Datapro Computers Private Limited
552,TC000496,Telangana,Hyderabad,Secunderabad,Synchroserve Global Solutions Private Limited
553,TC037484,Telangana,Hyderabad,Hyderabad,Synchroserve Global Solutions Private Limited
554,TC060328,Telangana,Jagtial,Nizamabad,Datapro Computers Private Limited
555,TC114081,Telangana,Jangaon,Nalgonda,Ultimate Energy Resource Pvt. Ltd.
556,TC027323,Telangana,Jayashankar Bhupalapally,Peddapalli,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
557,TC115537,Telangana,Jogulamba Gadwal,Nagarkurnool,Synchroserve Global Solutions Private Limited
558,TC127146,Telangana,Kamareddy,-,Synchroserve Global Solutions Private Limited
559,TC057973,Telangana,Karimnagar,Karimnagar,Datapro Computers Private Limited
560,TC027310,Telangana,Khammam,Khammam,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
561,TC118029,Telangana,Komaram Bheem,-,Datapro Computers Private Limited
562,TC015862,Telangana,Mahbubnagar,Mahbubnagar,Synchroserve Global Solutions Private Limited
563,TC107390,Telangana,Mancherial,Peddapalli,Ultimate Energy Resource Pvt. Ltd.
564,TC037485,Telangana,Medak,Zahirabad,Synchroserve Global Solutions Private Limited
565,TC021072,Telangana,Medchal- Malkajgiri,Malkajgiri,Synchroserve Global Solutions Private Limited
566,TC052563,Telangana,Nagarkurnool,Nagarkurnool,SEWA International
567,TC041819,Telangana,Nalgonda,Nalgonda,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
568,TC111789,Telangana,Nirmal,Adilabad,Datapro Computers Private Limited
569,TC037646,Telangana,Nizamabad,Nizamabad,Synchroserve Global Solutions Private Limited
570,TC105545,Telangana,Peddapalli,Peddapalli,Datapro Computers Private Limited
571,TC110748,Telangana,Rajanna Siricilla,Karimnagar,Datapro Computers Private Limited
572,TC037480,Telangana,Rangareddy,Chevella,Synchroserve Global Solutions Private Limited
573,TC037485,Telangana,Sangareddy,Medak,Synchroserve Global Solutions Private Limited
574,TC107356,Telangana,Suryapet,Nalgonda,Ultimate Energy Resource Pvt. Ltd.
575,TC110004,Telangana,Vikarabad,Chevella,Super Intellectual Technologies Private Limited
576,TC125711,Telangana,Wanaparthy,-,Synchroserve Global Solutions Private Limited
577,TC112440,Telangana,Warangal Rural,Mahabubabad,Gautam Buddh Welfare Society
578,TC108658,Telangana,Yadadri Bhuvanagiri,Bhongir,Datapro Computers Private Limited
579,TC111223,Tripura,Dhalai,Tripura East,Valeur Fabtex Private Limited
580,TC055102,Tripura,Gomati,Tripura East,Orion Edutech Private Limited
581,TC111502,Tripura,Unakoti,Tripura East,Ascensive Educare Private Limited
582,TC059275,Tripura,West Tripura,Tripura West,Orion Edutech Private Limited
583,TC045078,Uttar Pradesh,Agra,Fatehpur Sikri,De Unique Educational Society
584,TC008189,Uttar Pradesh,Agra,Agra,NIFA Infocomp Services Private Limited
585,TC040319,Uttar Pradesh,Aligarh,Aligarh,Vision India Services Private Limited
586,TC040326,Uttar Pradesh,Allahabad,Phulpur,Funfirst Global Skillers Private Limited
587,TC041810,Uttar Pradesh,Allahabad,Allahabad,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
588,TC049173,Uttar Pradesh,Ambedkar Nagar,Ambedkar Nagar,Social Action for Welfare and Cultural Advancement
589,TC028952,Uttar Pradesh,Amethi,Amethi,Social Action for Welfare and Cultural Advancement
590,TC040421,Uttar Pradesh,Amroha / Jyotiba Phule Nagar,Amroha,Empower Pragati Vocational & Staffing Private Limited
591,TC040402,Uttar Pradesh,Auraiya,Etawah,Care Educational & Welfare Society
592,TC108599,Uttar Pradesh,Azamgarh,Azamgarh,AISECT Limited (AISECT SKILLS MISSION)
593,TC059073,Uttar Pradesh,Azamgarh,Lalganj,De Unique Educational Society
594,TC005681,Uttar Pradesh,Badaun,Badaun,Mahendra Skills Training and Development Private Limited
595,TC031693,Uttar Pradesh,Baghpat,Baghpat,Empower Pragati Vocational & Staffing Private Limited
596,TC105767,Uttar Pradesh,Bahraich,Kaiserganj,Bhartiya Samruddhi Investments & Consulting  Services Limited
597,TC028039,Uttar Pradesh,Bahraich,Bahraich,Mahendra Skills Training and Development Private Limited
598,TC060914,Uttar Pradesh,Ballia,Salempur,De Unique Educational Society
599,TC058875,Uttar Pradesh,Ballia,Ballia,JITM Skills Private Limited
600,TC045088,Uttar Pradesh,Balrampur,Shravasti,Social Action for Welfare and Cultural Advancement
601,TC036710,Uttar Pradesh,Banda,Banda,Quess Corp Limited (Excelus Learning Solutions Private Limited)
602,TC044685,Uttar Pradesh,Barabanki,Barabanki,Social Action for Welfare and Cultural Advancement
603,TC059041,Uttar Pradesh,Bareilly,Aonla,De Unique Educational Society
604,TC003373,Uttar Pradesh,Bareilly,Bareilly,Mahendra Skills Training and Development Private Limited
605,TC046280,Uttar Pradesh,Basti,Basti,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
606,TC040340,Uttar Pradesh,Bijnor,Bijnor,Empower Pragati Vocational & Staffing Private Limited
607,TC110549,Uttar Pradesh,Bijnor,Nagina,Social Action for Welfare and Cultural Advancement
608,TC032000,Uttar Pradesh,Bulandshahar,Bulandshahr,Empower Pragati Vocational & Staffing Private Limited
609,TC116498,Uttar Pradesh,Chandauli,Chandauli,Star Secutech Pvt. Ltd.
610,TC100492,Uttar Pradesh,Chitrakoot,Banda,AISECT Limited (AISECT SKILLS MISSION)
611,TC057749,Uttar Pradesh,Deoria,Bansgaon,De Unique Educational Society
612,TC040499,Uttar Pradesh,Deoria,Deoria,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
613,TC040322,Uttar Pradesh,Etah,Etah,Vision India Services Private Limited
614,TC040992,Uttar Pradesh,Etawah,Etawah,Care Educational & Welfare Society
615,TC044994,Uttar Pradesh,Faizabad,Faizabad,Social Action for Welfare and Cultural Advancement
616,TC040288,Uttar Pradesh,Farrukhabad,Farrukhabad,Vision India Services Private Limited
617,TC040337,Uttar Pradesh,Fatehpur,Fatehpur,Quess Corp Limited (Excelus Learning Solutions Private Limited)
618,TC007434,Uttar Pradesh,Firozabad,Firozabad,NIFA Infocomp Services Private Limited
619,TC110065,Uttar Pradesh,Gautam Buddha Nagar,Gautam Buddha Nagar,JITM Skills Private Limited
620,TC019819,Uttar Pradesh,Ghaziabad,Ghaziabad,Empower Pragati Vocational & Staffing Private Limited
621,TC039631,Uttar Pradesh,Ghazipur,Ghazipur,Orion Edutech Private Limited
622,TC044735,Uttar Pradesh,Gonda,Gonda,Social Action for Welfare and Cultural Advancement
623,TC040541,Uttar Pradesh,Gorakhpur,Gorakhpur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
624,TC042084,Uttar Pradesh,Hamirpur,Hamirpur,Quess Corp Limited (Excelus Learning Solutions Private Limited)
625,TC041135,Uttar Pradesh,Hapur,Ghaziabad,Empower Pragati Vocational & Staffing Private Limited
626,TC024929,Uttar Pradesh,Hardoi,Hardoi,Mahendra Skills Training and Development Private Limited
627,TC041919,Uttar Pradesh,Hathras,Hathras,NIFA Infocomp Services Private Limited
628,TC112865,Uttar Pradesh,Jalaun,Jalaun,AISECT Limited (AISECT SKILLS MISSION)
629,TC057754,Uttar Pradesh,Jaunpur,Jaunpur,De Unique Educational Society
630,TC059586,Uttar Pradesh,Jaunpur,Machlishahr,Jan Kalyan Sewa Samiti
631,TC100495,Uttar Pradesh,Jhansi,Jhansi,AISECT Limited (AISECT SKILLS MISSION)
632,TC041924,Uttar Pradesh,Kannauj,Kannauj,NIFA Infocomp Services Private Limited
633,TC111629,Uttar Pradesh,Kanpur Dehat,Akbarpur,AISECT Limited (AISECT SKILLS MISSION)
634,TC040400,Uttar Pradesh,Kanpur Nagar,Kanpur Nagar,Care Educational & Welfare Society
635,TC061645,Uttar Pradesh,Kanpur Nagar,Misrikh,Mahendra Skills Training and Development Private Limited
636,TC045859,Uttar Pradesh,Kasganj (Kashiram Nagar),Etah,Vision India Services Private Limited
637,TC040580,Uttar Pradesh,Kaushambi,Kaushambi,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
638,TC059035,Uttar Pradesh,Kushinagar,Kushinagar,JITM Skills Private Limited
639,TC026431,Uttar Pradesh,Lakhimpur Kheri / Kheri,Lakhimpur Kheri,Mahendra Skills Training and Development Private Limited
640,TC059593,Uttar Pradesh,Lalitpur,Jhansi,Mahendra Skills Training and Development Private Limited
641,TC105399,Uttar Pradesh,Lucknow,Mohanlalganj,AISECT Limited (AISECT SKILLS MISSION)
642,TC015992,Uttar Pradesh,Lucknow,Lucknow,Mahendra Skills Training and Development Private Limited
643,TC055410,Uttar Pradesh,Maharajganj,Maharajganj,ADS Skill Private Limited
644,TC033434,Uttar Pradesh,Mahoba,Hamirpur,Quess Corp Limited (Excelus Learning Solutions Private Limited)
645,TC041209,Uttar Pradesh,Mainpuri,Mainpuri,NIFA Infocomp Services Private Limited
646,TC059085,Uttar Pradesh,Mau,Ghosi,JITM Skills Private Limited
647,TC020093,Uttar Pradesh,Meerut,Meerut,Empower Pragati Vocational & Staffing Private Limited
648,TC041814,Uttar Pradesh,Mirzapur,Mirzapur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
649,TC040420,Uttar Pradesh,Moradabad,Moradabad,Empower Pragati Vocational & Staffing Private Limited
650,TC040352,Uttar Pradesh,Muzaffarnagar,Muzaffarnagar,Empower Pragati Vocational & Staffing Private Limited
651,TC005657,Uttar Pradesh,Pilibhit,Pilibhit,Mahendra Skills Training and Development Private Limited
652,TC052591,Uttar Pradesh,Pilibhit,Pilibhit,Mahendra Skills Training and Development Private Limited
653,TC041815,Uttar Pradesh,Pratapgarh,Pratapgarh,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
654,TC030443,Uttar Pradesh,Rae Bareli,Rae Bareli,Quess Corp Limited (Excelus Learning Solutions Private Limited)
655,TC008800,Uttar Pradesh,Rampur,Rampur,Mahendra Skills Training and Development Private Limited
656,TC020088,Uttar Pradesh,Saharanpur,Saharanpur,Empower Pragati Vocational & Staffing Private Limited
657,TC040419,Uttar Pradesh,Sambhal,Sambhal,Empower Pragati Vocational & Staffing Private Limited
658,TC060627,Uttar Pradesh,Sant Kabir Nagar,Sant Kabir Nagar,Social Action for Welfare and Cultural Advancement
659,TC041148,Uttar Pradesh,Sant Ravidas Nagar,Bhadohi,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
660,TC016876,Uttar Pradesh,Shahjahanpur,Shahjahanpur,Mahendra Skills Training and Development Private Limited
661,TC041134,Uttar Pradesh,Shamli,Kairana,Empower Pragati Vocational & Staffing Private Limited
662,TC038150,Uttar Pradesh,Shravasti,Shravasti,Mahendra Skills Training and Development Private Limited
663,TC041289,Uttar Pradesh,Siddharthnagar,Domariyaganj,Quess Corp Limited (Excelus Learning Solutions Private Limited)
664,TC028102,Uttar Pradesh,Sitapur,Sitapur,Mahendra Skills Training and Development Private Limited
665,TC118513,Uttar Pradesh,Sonbhadra,Robertsganj,Mahendra Skills Training and Development Private Limited
666,TC040614,Uttar Pradesh,Sultanpur,Sultanpur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
667,TC003118,Uttar Pradesh,Unnao,Unnao,Care Educational & Welfare Society
668,TC013057,Uttar Pradesh,Varanasi,Varanasi,Orion Edutech Private Limited
669,TC040650,Uttarakhand,Almora,Almora,JITM Skills Private Limited
670,TC040654,Uttarakhand,Bageshwar,Almora,JITM Skills Private Limited
671,TC041929,Uttarakhand,Chamoli,Garhwal,SEWA International
672,TC040652,Uttarakhand,Champawat,Almora,JITM Skills Private Limited
673,TC041920,Uttarakhand,Dehradun,Tehri Garhwal,SEWA International
674,TC041069,Uttarakhand,Haridwar,Haridwar,SEWA International
675,TC040815,Uttarakhand,Nainital,Nainital-Udham Singh Nagar,JITM Skills Private Limited
676,TC041178,Uttarakhand,Pauri Garhwal,Garhwal,SEWA International
677,TC040656,Uttarakhand,Pithoragarh,Almora,JITM Skills Private Limited
678,TC041928,Uttarakhand,Rudraprayag,Garhwal,SEWA International
679,TC040729,Uttarakhand,Tehri Garhwal,Tehri Garhwal,SEWA International
680,TC040641,Uttarakhand,Udham Singh Nagar,Nainital-Udham Singh Nagar,JITM Skills Private Limited
681,TC041925,Uttarakhand,Uttarkashi,Tehri Garhwal,SEWA International
682,TC040494,West Bengal,Alipurduar,Alipurduar,Orion Edutech Private Limited
683,TC040804,West Bengal,Bankura,Bankura,Edujobs Academy Private Limited
684,TC016069,West Bengal,Bardhaman Paschim,Bardhaman- Durgapur,Edujobs Academy Private Limited
685,TC039290,West Bengal,Bardhaman Paschim,Asansol,ICA Edu Skills Private Limited
686,TC040554,West Bengal,Bardhaman Purba,Barddhaman Purba,ICA Edu Skills Private Limited
687,TC039657,West Bengal,Birbhum,Birbhum,Orion Edutech Private Limited
688,TC041822,West Bengal,Cooch Behar,Cooch Behar,Orion Edutech Private Limited
689,TC041935,West Bengal,Dakshin Dinajpur,Balurghat,Orion Edutech Private Limited
690,TC040497,West Bengal,Darjeeling,Darjeeling,Orion Edutech Private Limited
691,TC040507,West Bengal,Hooghly,Arambag,ICA Edu Skills Private Limited
692,TC038160,West Bengal,Hooghly,Sreerampore,ICA Edu Skills Private Limited
693,TC041930,West Bengal,Hooghly,Hooghly,Orion Edutech Private Limited
694,TC024955,West Bengal,Hooghly,Sreerampore,Orion Edutech Private Limited
695,TC041041,West Bengal,Howrah,Uluberia,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
696,TC009174,West Bengal,Howrah,Howrah,Orion Edutech Private Limited
697,TC039630,West Bengal,Jalpaiguri,Jalpaiguri,Orion Edutech Private Limited
698,TC041004,West Bengal,Kolkata,Kolkata Dakshin,Orion Edutech Private Limited
699,TC042171,West Bengal,Kolkata,Kolkata Uttar,Orion Edutech Private Limited
700,TC047657,West Bengal,Malda,Malda Uttar,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
701,TC039522,West Bengal,Malda,Malda Dakshin,Orion Edutech Private Limited
702,TC038940,West Bengal,Midnapore East,Tamluk,Edujobs Academy Private Limited
703,TC108892,West Bengal,Midnapore East,Kanthi,Medhavi Foundation
704,TC040756,West Bengal,Midnapore West,Ghatal,Edujobs Academy Private Limited
705,TC046270,West Bengal,Midnapore West,Medinipur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
706,TC115286,West Bengal,Murshidabad,Jangipur,Centum Workskills India Limited
707,TC046261,West Bengal,Murshidabad,Baharampur,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
708,TC059145,West Bengal,Murshidabad,Murshidabad,Orion Edutech Private Limited
709,TC029960,West Bengal,Nadia,Krishnanagar,ICA Edu Skills Private Limited
710,TC040883,West Bengal,Nadia,Bangaon,Orion Edutech Private Limited
711,TC034790,West Bengal,Nadia,Ranaghat,Orion Edutech Private Limited
712,TC052819,West Bengal,North 24 Parganas,Dum Dum,IL&FS Skills Development Corporation Limited (Learnet Skills Limited)
713,TC003695,West Bengal,North 24 Parganas,Barasat,Orion Edutech Private Limited
714,TC052779,West Bengal,North 24 Parganas,Barasat,Orion Edutech Private Limited
715,TC041122,West Bengal,North 24 Parganas,Barasat,Orion Edutech Private Limited
716,TC015358,West Bengal,North 24 Parganas,Barasat,Orion Edutech Private Limited
717,TC040482,West Bengal,North 24 Parganas,Barrackpore,Orion Edutech Private Limited
718,TC036736,West Bengal,Purulia,Purulia,Edujobs Academy Private Limited
719,TC040488,West Bengal,South 24 Parganas,Jaynagar,ICA Edu Skills Private Limited
720,TC026841,West Bengal,South 24 Parganas,Diamond Harbour,Orion Edutech Private Limited
721,TC041821,West Bengal,South 24 Parganas,Jadavpur,Orion Edutech Private Limited
722,TC028479,West Bengal,Uttar Dinajpur,Raiganj,Orion Edutech Private Limited
